,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,History,Adventure,Comedy,Documentary,Action,Mystery,Western,Fantasy,Drama,Music,Romance,Sport,Sci-Fi,War,Film-Noir,Family,Crime,Short,Biography,Animation,Horror,News,Thriller,Musical
300,1.0,0.5652709359605911,0.3405572755417957,0.0,0.019434782608695654,0.028125,0.27691105030990004,0.3593589381681056,0.04927443546053934,0.0,0.40956710812413527,0.0154761393747139,0.8999999999999986,0.09489051094890512,0.7922077922077921,0.07894736842105264,0.03724928366762178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meet the Fockers,1.0,0.1724137931034483,0.3065015479876161,0.005043478260869565,0.030782608695652178,0.034375,0.36708129670325873,0.12504209180125686,0.03797298737685198,0.13953488372093023,0.08440403241747381,0.019047568131516635,0.879999999999999,0.0052043795620437955,0.6103896103896104,0.04520917678812417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marley & Me,1.0,0.2204433497536946,0.33436532507739936,0.002782608695652174,0.028869565217391306,0.003125,0.188231743461589,0.06904889987270374,0.007325689400514672,0.0,0.06305593990907295,0.014285663122446324,0.9200000000000017,0.0065620437956204385,0.7142857142857142,0.07894736842105264,0.03151862464183381,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Green Mile,1.0,0.22783251231527094,0.5634674922600619,0.0,0.030130434782608698,0.0234375,0.1798819058137613,0.4631459279104298,0.02697607844928662,0.0,0.2719905119588852,0.014285663122446324,0.8300000000000018,0.005437956204379563,0.896103896103896,0.04520917678812417,0.08595988538681949,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wild Hogs,1.0,0.21674876847290642,0.28792569659442724,0.0005217391304347827,0.013521739130434784,0.0006546875,0.2211862781801559,0.05917056811060038,0.0021500464422213087,0.06976744186046512,0.050207550899387235,0.004714234054215005,0.9100000000000001,0.0024087591240875912,0.5584415584415584,0.07894736842105264,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken Little,1.0,0.19704433497536947,0.22910216718266255,0.0004347826086956522,0.017260869565217392,0.0014453125,0.17801490201877979,0.037820186192232146,0.003429110897933702,0.0,0.0494168808064835,0.03571423566326271,0.8900000000000006,0.005321167883211679,0.5454545454545454,0.04520917678812417,0.0026131805157593125,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gone Girl,1.0,0.6982758620689655,0.4396284829721363,0.9130434782608696,0.027173913043478264,0.0013046875,0.2205575018153875,0.33722915516354696,0.006620681254092245,0.0,0.22257363115240167,0.014523758372899839,0.9800000000000004,0.005927007299270073,0.844155844155844,0.07894736842105264,0.4183381088825215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Bourne Identity,1.0,0.3054187192118226,0.34674922600619196,0.009478260869565217,0.003173913043478261,0.0203125,0.1597210913683045,0.241215463270206,0.020174196397301784,0.023255813953488372,0.16762205969559202,0.014285663122446324,0.8599999999999994,0.001072992700729927,0.8181818181818182,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GoldenEye,1.0,0.16748768472906403,0.3808049535603716,0.011217391304347827,0.015000000000000001,0.0006156250000000001,0.14021701100104203,0.11778010947123228,0.002716489272608226,0.046511627906976744,0.08203202213876261,0.013809472621539294,0.7899999999999991,0.002824817518248175,0.7272727272727273,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The General's Daughter,1.0,0.13793103448275862,0.33746130030959753,0.0071739130434782614,0.02065217391304348,0.0009015625,0.13501270145008845,0.0252698757633485,0.0035341769067957917,0.0,0.05396323384067998,0.022618996888319365,0.8300000000000018,0.0036569343065693434,0.6103896103896104,0.07894736842105264,0.002535816618911175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Truman Show,1.0,0.2610837438423645,0.29721362229102166,0.026434782608695653,0.025043478260869566,0.003125,0.16515747413512105,0.3953096269941453,0.0056309289966957506,0.023255813953488372,0.17315675034591815,0.014285663122446324,0.8200000000000003,0.004503649635036497,0.844155844155844,0.04520917678812417,0.05157593123209169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Prince of Egypt,1.0,0.14655172413793105,0.28482972136222917,0.002565217391304348,0.006304347826086957,0.001203125,0.13309267767012156,0.05390591202650792,0.0018196214578289406,0.046511627906976744,0.06957896817552876,0.01666661562698148,0.8200000000000003,0.0019197080291970803,0.7012987012987012,0.04520917678812417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Daddy Day Care,1.0,0.09852216748768473,0.26315789473684215,0.001782608695652174,0.022695652173913044,0.0015625,0.1369465357777043,0.02928287406665684,0.006166917911470468,0.023255813953488372,0.02273176517098241,0.014285663122446324,0.870000000000001,0.006970802919708029,0.5064935064935064,0.04520917678812417,0.002538681948424069,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Guns,1.0,0.3251231527093596,0.3157894736842105,0.007608695652173913,0.019956521739130435,0.028125,0.09937221968301262,0.09284933531941537,0.03067927458773012,0.023255813953488372,0.033801146471634715,0.014523758372899839,0.9699999999999989,0.0036277372262773725,0.6623376623376623,0.07894736842105264,0.06303724928366762,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cats & Dogs,1.0,0.12807881773399016,0.2476780185758514,0.00026086956521739134,0.017608695652173913,0.0046875,0.12278013280071667,0.027238203791191525,0.006351164100924277,0.0,0.04625420043486855,0.014285663122446324,0.8500000000000014,0.004846715328467153,0.4675324675324676,0.04520917678812417,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Italian Job,1.0,0.1896551724137931,0.32198142414860687,0.02056521739130435,0.003565217391304348,0.040625,0.13954642561284733,0.16902883784018904,0.05342225876692096,0.13953488372093023,0.09804309152006326,0.014285663122446324,0.870000000000001,0.06569343065693431,0.7012987012987012,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Two Weeks Notice,1.0,0.1440886699507389,0.2910216718266254,0.0013043478260869566,0.01165217391304348,0.0015625,0.12269156673036573,0.05069835402563324,0.004013826077687939,0.046511627906976744,0.05297489622455031,0.014285663122446324,0.8599999999999994,0.007124087591240876,0.5844155844155844,0.04520917678812417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antz,1.0,0.16009852216748768,0.23529411764705885,0.0015217391304347828,0.03278260869565218,0.0203125,0.11919226087047594,0.07375963081125769,0.03926727879037047,0.0,0.05692824668906899,0.024999949392854517,0.8200000000000003,0.08029197080291971,0.6493506493506492,0.04520917678812417,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Couples Retreat,1.0,0.20320197044334976,0.3281733746130031,0.0,0.03134782608695652,0.00625,0.1435571819558456,0.04941592262565253,0.012443469919144854,0.13953488372093023,0.028266455821308562,0.014285663122446324,0.9299999999999997,0.00527007299270073,0.5064935064935064,0.04520917678812417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Days of Thunder,1.0,0.0726600985221675,0.30959752321981426,0.5217391304347826,0.030217391304347828,0.015625,0.1087047376904224,0.035786760123780965,0.02132687710322355,0.0,0.018976082229689665,0.014285663122446324,0.740000000000002,0.021897810218978103,0.5584415584415584,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheaper by the Dozen 2,1.0,0.09359605911330049,0.2693498452012384,0.007086956521739131,0.08695652173913045,0.01875,0.10857166702179222,0.02528881337516178,0.030983813743852118,0.13953488372093023,0.025103775449693617,0.014285663122446324,0.8900000000000006,0.021897810218978103,0.49350649350649356,0.07894736842105264,0.002237822349570201,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Scorch Trials,1.0,0.3054187192118226,0.38699690402476783,0.002043478260869565,0.010434782608695653,0.00154375,0.10741198469804995,0.08181107483374848,0.0038326252797953497,0.0,0.0709626408381103,0.014523758372899839,0.990000000000002,0.007007299270072993,0.6233766233766234,0.07894736842105264,0.06876790830945559,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eat Pray Love,1.0,0.2610837438423645,0.4117647058823529,0.030782608695652178,0.03239130434782609,0.0171875,0.10594772608438818,0.03757222183755198,0.03112390175566824,0.023255813953488372,0.05949792449100613,0.014285663122446324,0.9400000000000013,0.05839416058394161,0.5324675324675324,0.04520917678812417,0.07449856733524356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Family Man,1.0,0.1477832512315271,0.3653250773993808,0.018260869565217393,0.027260869565217394,0.01875,0.0996230856578015,0.050799551888760466,0.02534679396403393,0.023255813953488372,0.06345127495552481,0.014285663122446324,0.8399999999999999,0.021897810218978103,0.6623376623376623,0.07894736842105264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED,1.0,0.38669950738916253,0.32198142414860687,0.005391304347826087,0.015521739130434784,0.0203125,0.11881133406649025,0.1413876179975961,0.03795776041904588,0.09302325581395349,0.06463728009488041,0.013809472621539294,0.9400000000000013,0.08029197080291971,0.7142857142857142,0.07894736842105264,0.09169054441260746,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Any Given Sunday,1.0,0.20935960591133004,0.4613003095975232,0.0,0.04347826086956522,0.021875000000000002,0.09931637789137632,0.05742949142451675,0.03161268710124404,0.11627906976744186,0.08914805297489622,0.013095186870178747,0.8300000000000018,0.014598540145985403,0.6753246753246752,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Horse Whisperer,1.0,0.11699507389162561,0.5046439628482973,0.0,0.016521739130434785,0.029687500000000002,0.09910590083228635,0.01914355834175169,0.03149391683035647,0.0,0.05178889108519471,0.014285663122446324,0.8200000000000003,0.007299270072992701,0.6363636363636364,0.04520917678812417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collateral,1.0,0.3669950738916256,0.34984520123839014,0.0,0.02956521739130435,0.015625,0.13149583490621772,0.17378632100790703,0.020679731396464302,0.0,0.16505238189365487,0.0154761393747139,0.879999999999999,0.006211678832116789,0.7792207792207791,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Scorpion King,1.0,0.2044334975369458,0.28792569659442724,0.0023913043478260873,0.018086956521739132,0.01875,0.11879136445903096,0.06043702090061363,0.022248108050492595,0.09302325581395349,0.08519470251037756,0.014285663122446324,0.8599999999999994,0.007299270072992701,0.5064935064935064,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ladder 49,1.0,0.15270935960591134,0.33436532507739936,0.0005652173913043479,0.025173913043478262,0.003125,0.09801452043057376,0.028849084396058846,0.006846040229622524,0.046511627906976744,0.06364894247875075,0.013095186870178747,0.879999999999999,0.007299270072992701,0.6363636363636364,0.04520917678812417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jack Reacher,1.0,0.4753694581280788,0.3808049535603716,0.00817391304347826,0.04347826086956522,0.015625,0.10523718964704386,0.13408125063988413,0.02494937036529472,0.046511627906976744,0.08835738288199249,0.014285663122446324,0.9600000000000009,0.021897810218978103,0.7012987012987012,0.07894736842105264,0.10888252148997135,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Deep Blue Sea,1.0,0.2438423645320197,0.303405572755418,0.009217391304347827,0.035260869565217394,0.0015625,0.09684080139387781,0.05861072496137023,0.005629406300915141,0.023255813953488372,0.1269025499110496,0.014285663122446324,0.8300000000000018,0.007116788321167884,0.5454545454545454,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
This Is It,1.0,0.16625615763546797,0.32198142414860687,0.008565217391304348,0.00026086956521739134,0.0006765625000000001,0.09446906632920173,0.019619957638929573,0.0010339104350341845,0.0,0.043882190156157345,0.014285663122446324,0.9299999999999997,0.0015182481751824818,0.7402597402597402,0.04048582995951418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contagion,1.0,0.5357142857142857,0.3065015479876161,0.0,0.007608695652173913,0.0203125,0.09945827163672025,0.10680457982469689,0.020760434272836633,0.09302325581395349,0.08104368452263294,0.014285663122446324,0.9499999999999993,0.0017518248175182483,0.6493506493506492,0.04520917678812417,0.12034383954154729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kangaroo Jack,1.0,0.08866995073891626,0.2538699690402477,0.000782608695652174,0.00982608695652174,0.001028125,0.08775059978677213,0.013890146464673363,0.0018774838974921202,0.0,0.03558015418066812,0.014285663122446324,0.870000000000001,0.0018759124087591242,0.36363636363636365,0.07894736842105264,0.0024584527220630373,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coraline,0.0,0.3805418719211822,0.28792569659442724,0.011000000000000001,0.0024782608695652175,0.0004828125,0.09898663150690319,0.0846961016334282,0.0009851841700546649,0.023255813953488372,0.05495157145680965,0.014285663122446324,0.9299999999999997,0.0016715328467153286,0.7922077922077921,0.04520917678812417,0.02865329512893983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The Happening,1.0,0.396551724137931,0.26006191950464397,0.0,0.03265217391304348,0.0171875,0.08481955003400139,0.09653743522005209,0.02079088818844883,0.0,0.2496540818343546,0.01142852011700414,0.9200000000000017,0.006905109489051095,0.4415584415584416,0.04520917678812417,0.017191977077363897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Man on Fire,1.0,0.20935960591133004,0.43034055727554177,0.5217391304347826,0.019608695652173914,0.028125,0.10238238258534517,0.15759939731050404,0.031145219496596776,0.046511627906976744,0.1361929235026685,0.01666661562698148,0.879999999999999,0.00724087591240876,0.7922077922077921,0.07894736842105264,0.04011461318051576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Shaggy Dog,1.0,0.09236453201970443,0.281733746130031,0.0020869565217391307,0.03139130434782609,0.0328125,0.08035805018341184,0.00880776489428374,0.037555768732964845,0.0,0.016208736904526587,0.01190471061791117,0.8999999999999986,0.006832116788321168,0.36363636363636365,0.07894736842105264,0.002140401146131805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starsky & Hutch,1.0,0.21182266009852216,0.2910216718266254,0.020869565217391306,0.03334782608695652,0.0013765625,0.11597554724393677,0.07148356659144883,0.006003989462945198,0.11627906976744186,0.06068392963036173,0.014285663122446324,0.879999999999999,0.006343065693430657,0.5844155844155844,0.07894736842105264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jingle All the Way,1.0,0.09852216748768473,0.2693498452012384,0.001391304347826087,0.02721739130434783,0.001334375,0.07964894963276967,0.04047973705125997,0.006897811886163264,0.023255813953488372,0.031824471239375374,0.014285663122446324,0.8000000000000007,0.004583941605839416,0.49350649350649356,0.04520917678812417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hellboy,1.0,0.29679802955665024,0.38699690402476783,0.0,0.006956521739130435,0.000571875,0.07762590492666731,0.14473129008337876,0.0016932377080383111,0.023255813953488372,0.11780984384265666,0.01571423462516742,0.879999999999999,0.002437956204379562,0.6753246753246752,0.04520917678812417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A Civil Action,1.0,0.13423645320197045,0.33436532507739936,0.010173913043478262,0.02265217391304348,0.0046875,0.07455925723947744,0.013787173200438641,0.0071764652140148925,0.023255813953488372,0.03558015418066812,0.014285663122446324,0.8200000000000003,0.004029197080291971,0.6363636363636364,0.07894736842105264,0.002865329512893983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ParaNorman,1.0,0.4027093596059113,0.26315789473684215,0.0012173913043478262,0.025478260869565218,0.015625,0.07362784539868364,0.04277651428398961,0.02070409452895406,0.0,0.03459181656453845,0.014285663122446324,0.9600000000000009,0.006452554744525548,0.7012987012987012,0.07894736842105264,0.034383954154727794,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The Jackal,1.0,0.10098522167487685,0.36222910216718274,0.004565217391304348,0.02,0.0375,0.07220248195777787,0.0522086285677425,0.05820809160537817,0.0,0.044672860249061086,0.014285663122446324,0.8099999999999987,0.09489051094890512,0.6103896103896104,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Paycheck,1.0,0.24014778325123154,0.34674922600619196,0.026521739130434784,0.0311304347826087,0.001303125,0.07072813794942243,0.05315018295508413,0.005538044554078541,0.0,0.06839296303617316,0.014285663122446324,0.870000000000001,0.005693430656934307,0.6103896103896104,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Up Close & Personal,1.0,0.04064039408866995,0.36222910216718274,0.002173913043478261,0.029217391304347827,0.0015625,0.06712065406848339,0.006725811195561024,0.005562407686568301,0.046511627906976744,0.010476378730974503,0.014285663122446324,0.8000000000000007,0.00689051094890511,0.5844155844155844,0.04520917678812417,0.0023753581661891117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Tale of Despereaux,1.0,0.1440886699507389,0.2662538699690402,0.000782608695652174,0.03926086956521739,0.0140625,0.06682210140217426,0.018466538719426853,0.020408691547515723,0.0,0.02075508993872307,0.014285663122446324,0.9200000000000017,0.014598540145985403,0.5844155844155844,0.07894736842105264,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The Tuxedo,1.0,0.09852216748768473,0.281733746130031,0.0004782608695652174,0.004652173913043478,0.001509375,0.06599426932620497,0.036668542673836915,0.003072800085270964,0.046511627906976744,0.040719509784542404,0.014285663122446324,0.8599999999999994,0.004963503649635037,0.48051948051948046,0.04520917678812417,0.0022836676217765045,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Under Siege 2: Dark Territory,1.0,0.05665024630541872,0.26315789473684215,0.0006086956521739131,0.021217391304347827,0.0012328125,0.06577718219160979,0.02125332665782517,0.0035296088194539613,0.023255813953488372,0.02470844040324175,0.014285663122446324,0.7899999999999991,0.0037956204379562047,0.49350649350649356,0.04520917678812417,0.002865329512893983,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jack Ryan: Shadow Recruit,1.0,0.3842364532019704,0.303405572755418,0.0,0.012521739130434783,0.0008421875,0.06646754389482308,0.05860599055841691,0.0021485237464406986,0.06976744186046512,0.05692824668906899,0.014285663122446324,0.9800000000000004,0.002875912408759124,0.5974025974025974,0.07894736842105264,0.04871060171919771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joy,1.0,0.38669950738916253,0.36222910216718274,0.03204347826086957,0.6086956521739131,0.053125000000000006,0.07421814341861231,0.04457677100698975,0.11540968129977312,0.06976744186046512,0.05040521842261317,0.014285663122446324,0.990000000000002,0.16058394160583941,0.6493506493506492,0.04520917678812417,0.06876790830945559,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
London Has Fallen,1.0,0.27586206896551724,0.28482972136222917,0.0010434782608695653,0.03756521739130435,0.028125,0.08205211773006009,0.04111769784921992,0.030874179647648197,0.06976744186046512,0.06364894247875075,0.014285663122446324,1.0,0.00724087591240876,0.5584415584415584,0.07894736842105264,0.08022922636103152,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alien: Resurrection,1.0,0.2733990147783251,0.33746130030959753,0.0,0.029217391304347827,0.0015625,0.06278512960754527,0.10070903602229667,0.004705129962084875,0.0,0.12947222771298675,0.017857091879249058,0.8099999999999987,0.005255474452554745,0.6103896103896104,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shooter,1.0,0.24261083743842365,0.36222910216718274,0.036739130434782614,0.01282608695652174,0.001015625,0.061768139182286325,0.15162398898304433,0.002497221080200387,0.0,0.06661395532713976,0.014523758372899839,0.9100000000000001,0.0034087591240875913,0.7272727272727273,0.07894736842105264,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Boxtrolls,1.0,0.26847290640394084,0.27554179566563464,0.00030434782608695655,0.02791304347826087,0.001365625,0.06680749138647135,0.02419161549072974,0.004798014404702085,0.06976744186046512,0.023917770310338014,0.014285663122446324,0.9800000000000004,0.004875912408759124,0.6753246753246752,0.04520917678812417,0.03151862464183381,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
